code,nickname,region_id,sequence_number,altitude,longitude,latitude,note,IPaddress,MAC_address,hostname,active,modified_by,created_by,assigned,last_update,nameof_company-association,address,postcode,city,province,country,refered_to
ITCP01,NAPOLI,3,1,102,14.255361,40.862528,"INAF Osservatorio Astronomico di Capodimonte",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITCP02,CAPUA,3,2,35,14.175158,41.121389,"CIRA - Centro Italiano Ricerche Aerospaziali",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITCP03,CASERTA,3,3,14,14.33903,41.0786,"Liceo Statale Alessandro Manzoni",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER01,LOIANO,2,1,787,11.331773,44.256571,"INAF - Osservatorio di Astrofisica e Scienza dello Spazio di Bologna",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER02,SAVIGNANO,2,2,100,12.400739,44.093683,"IISS Marie Curie - Associazione Astronomica del Rubicone",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER03,MEDICINA,2,3,10,11.64472222,44.52444444,"INAF - Istituto di Radioastronomia",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER04,BEDONIA,2,4,550,9.632487,44.507693,"Planetario di Bedonia - Associazione Googol",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER05,PIACENZA,2,5,77,9.72503,45.035376,"Collegio Alberoni",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER06,SCANDIANO,2,6,153,10.65765,44.59059,"Osservatorio Astronomico L.Spallanzani - Associazione Scandianese Fisica Astronomica",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITER07,MONTEROMANO,2,7,765,11.635991,44.138286,"Osservatorio Astronomico di Monteromano - Gruppo Astrofili Antares",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
ITFV01,TRIESTE,15,1,412,13.876989,45.64203,"INAF - Osservatorio Astronomico di Trieste",NULL,NULL,NULL,1,1,1,1,"2021-01-01 16:22:00",NULL,NULL,NULL,NULL,NULL,NULL,1
